tijd,C6H5NO2,C6H6,N2O5
0,0.0,0.03,0.0
1,1.7762075312211558e-07,0.029899988707553605,9.974486131670615e-05
2,7.076200048996292e-07,0.029799957282951733,0.00019898128704091324
3,1.582583998033703e-06,0.029699912075688582,0.00029771404831436426
4,2.7940940457801465e-06,0.029599860280803608,0.00039594857812771706
5,4.337843955945725e-06,0.029499805538445903,0.0004936876956201734
6,6.205171881738203e-06,0.029399755226814032,0.0005909370153633565
7,8.387795400055546e-06,0.029299716409410086,0.000687701897489825
8,1.0877432087795711e-05,0.029199696149736165,0.0007839877021321372
9,1.3665799521856661e-05,0.02909970151129436,0.0008797997894228516
10,1.674607506495754e-05,0.028999738250190355,0.0009751426372122038
11,2.011333384192374e-05,0.028899810422878203,0.0010700195763589085
12,2.3760691906137798e-05,0.028799923840372738,0.0011644351217680506
13,2.768122082264479e-05,0.028700084353532933,0.0012583938152330942
14,3.18679921564898e-05,0.028600297813217757,0.0013519001985475025
15,3.6314169121763975e-05,0.02850056998204299,0.001444958764274362
16,4.101407029334867e-05,0.02840090551019903,0.0015375733843609424
17,4.5961568836015444e-05,0.02830130947673411,0.001629748170011861
18,5.1150258718679255e-05,0.02820178722951686,0.0017214873824051176
19,5.657373391025502e-05,0.028102344116415903,0.0018127952827187114
20,6.222558837965768e-05,0.028002985485299867,0.0019036761321306421
21,6.810172579416949e-05,0.027903714462909464,0.0019941329483992767
22,7.419237394421457e-05,0.027804539634208317,0.0020841718048753553
23,8.049509438083448e-05,0.027705462531628568,0.002173794826800178
24,8.700369550546455e-05,0.027606488296829202,0.0022630061599125985
25,9.371207672564549e-05,0.02750762198395294,0.0023518099009585893
26,0.0001006143028308641,0.027408868488277168,0.002440210057476536
27,0.00010770538174026588,0.0273102318001173,0.0025282101272723016
28,0.00011498002662909685,0.027211716192324074,0.0026158137677322803
29,0.0001224328607877398,0.027113326023761413,0.0027030246850569773
30,0.00013005862712355202,0.027015065538330434,0.0027898465209842383
31,0.00013785218816086535,0.02691693886496945,0.0028762828527892506
32,0.00014580852604098625,0.026818950017653977,0.002962337193284542
33,0.00015392274252219563,0.026721102895396722,0.003048012990819982
34,0.00016219005897974905,0.02662340128224759,0.003133313629282783
35,0.00017060581640587655,0.026525848847293688,0.0032182424280974963
36,0.00017916547540978276,0.02642844914465931,0.0033028026422260155
37,0.0001878644106855706,0.026331205812880523,0.0033869975710911233
38,0.00019669748398946322,0.02623412298913481,0.003470830784880995
39,0.0002056601725184938,0.026137204214667347,0.0035543055265549114
40,0.0002147481045910394,0.026040452885199968,0.0036374249579134736
41,0.0002239570039822896,0.025943872304928048,0.0037201921890985166
42,0.0002332826899242464,0.02584746568652052,0.0038026102785931088
43,0.0002427210771057242,0.025751236151119863,0.0038846822332215523
44,0.0002522681756723499,0.025655186728342095,0.003966411008149382
45,0.0002619200912265629,0.02555932035627679,0.004047799506883366
46,0.0002716730248276149,0.02546363988148707,0.004128850581271509
47,0.0002815232729915702,0.0253681480590096,0.004209567031503045
48,0.0002914667867856878,0.0252728479804195,0.0042899518394019665
49,0.000301499308396628,0.02517774294123948,0.004370008096165577
50,0.0003116171226334282,0.02508283571132325,0.0044497386047266056
51,0.00032181658754380907,0.024988128990569142,0.004529146128115145
52,0.00033209413227004654,0.024893625411001763,0.004608233390593168
53,0.0003424462570489721,0.02479932753677202,0.004687003077654521
54,0.0003528695332119725,0.024705237864157112,0.0047654578360249306
55,0.0003633606031849901,0.02461135882156052,0.004843600273661994
56,0.0003739161804885224,0.024517692769512028,0.004921432959755188
57,0.00038453304973762255,0.024424242000667697,0.004998958424725868
58,0.00039520805897381436,0.02433100874737772,0.005076179164161556
59,0.0004059378934793765,0.024237995404914857,0.005153097754866076
60,0.00041671936445215874,0.024145204246573904,0.005229716706747857
61,0.00042754943694051767,0.024052637396101983,0.00530603844848724
62,0.0004384251387262656,0.023960296917624288,0.005382065374286311
63,0.00044934356032466974,0.023868184815644095,0.005457799843868898
64,0.000460301854984453,0.02377630303504275,0.00553324418248057
65,0.0004712972386877934,0.023684653461079664,0.005608400680888644
66,0.00048232699015032446,0.023593237919392336,0.005683271595382174
67,0.000493388450821135,0.02350205817599633,0.0057578591477719645
68,0.000504479024882769,0.023411115937285287,0.005832165525390557
69,0.0005155968405053419,0.023320412197738706,0.005906192541503279
70,0.0005267374617935785,0.023229950483412302,0.00597994332389733
71,0.000537899433421946,0.023139731382448674,0.006053419467418405
72,0.000549080278333774,0.02304975649313547,0.006126623089363867
73,0.0005602775803095193,0.022960027356009036,0.006199556273526683
74,0.0005714889832086868,0.022870545454602223,0.0062722210705847435
75,0.0005827121902117497,0.022781312216192198,0.0063446194984901755
76,0.0005939449630620703,0.022692329012548237,0.006416753542858654
77,0.0006051851213078205,0.02260359716067955,0.0064886251573587185
78,0.0006164305415439023,0.02251511792358306,0.006560236264101085
79,0.0006276791566538684,0.022426892510991232,0.006631588754027963
80,0.0006389288279707125,0.02233892220537546,0.00670268455266847
81,0.0006501772821905759,0.022251208424126732,0.006773525652587405
82,0.0006614225248208575,0.022163752312047372,0.006844113900721341
83,0.0006726626167174357,0.022076554961604374,0.006914451113319471
84,0.0006838956642894987,0.021989617422584467,0.006984539080981284
85,0.0006951198185221394,0.021902940703058097,0.007054379569158693
86,0.0007063332739989491,0.02181652577034341,0.007123974318658166
87,0.0007175342679246126,0.02173037355197023,0.00719332504614285
88,0.000728721079147502,0.021644484936644046,0.007262433444634701
89,0.0007398920271822714,0.021558860775209982,0.00733130118401661
90,0.000751045471232451,0.02147350188161679,0.007399929911534532
91,0.0007621798092130422,0.021388409033880822,0.007468321252299613
92,0.0007732934767731108,0.021303582975050018,0.007536476809790315
93,0.0007843849463183828,0.021219024414167877,0.007604398166354549
94,0.0007954527260338374,0.021134734027237444,0.0076720868837118
95,0.0008064953589063025,0.021050712458185294,0.007739544503455252
96,0.0008175114217470487,0.020966960319825506,0.007806772547553921
97,0.0008284995242143831,0.020883478194823647,0.007873772518854776
98,0.0008394583078362448,0.02080026663666076,0.007940545901584873
99,0.0008503864412819745,0.020717326174104392,0.008007094163972644
100,0.0008612826051870887,0.02063465732544778,0.008073418766771586
101,0.0008721455228561015,0.020552260569852328,0.00813952114586352
102,0.0008829739478044942,0.020470136359046164,0.008205402719247093
103,0.0008937666600821738,0.02038828512081184,0.008271064889064898
104,0.000904522465281799,0.02030670725996365,0.008336509042113648
105,0.0009152401935471085,0.020225403159324966,0.008401736550354368
106,0.0009259186985812463,0.020144373180705537,0.00846674877142259
107,0.0009365568566550898,0.02006361766587883,0.008531547049138534
108,0.0009471535656155761,0.019983136937559334,0.0085961327140173
109,0.000957707743894029,0.0199029313003799,0.008660507083779056
110,0.0009682183295144858,0.019823001041869043,0.008724671463859227
111,0.0009786842791020241,0.01974334643342828,0.008788627147918681
112,0.000989104566891089,0.01966396773130944,0.008852375418353925
113,0.0009994781837338199,0.019584865177591986,0.00891591754680728
114,0.0010098041361083767,0.019506039001160345,0.008979254794677089
115,0.0010200814451272679,0.019427489418681214,0.00904238841362788
116,0.0010303091455456765,0.0193492166355809,0.009105319646100583
117,0.001040486284769787,0.01927122084702262,0.009168049725822698
118,0.0010506119469843812,0.019193502214048332,0.009230579865475094
119,0.001060685690815498,0.019116060430856924,0.009292911032919828
120,0.0010707069115570697,0.01903889535536989,0.009355044277294503
121,0.0010806748797311779,0.018962006971103517,0.009416980709299715
122,0.0010905888917859762,0.01888539523817015,0.009478721424150885
123,0.0011004482698400856,0.018809060093527764,0.009540267501712104
124,0.001110252361426988,0.018733001451229546,0.00960162000662997
125,0.0011200005392394228,0.01865721920267343,0.009662779988467434
126,0.00112969220087378,0.0185817132168517,0.009723748481837628
127,0.0011393267685744948,0.018506483340600538,0.009784526506537716
128,0.001148903688978444,0.0184315293988496,0.009845115067682729
129,0.0011584224328593383,0.018356851194871585,0.009905515155839404
130,0.0011678824948721193,0.018282448510531794,0.009965727747160024
131,0.0011772833932973518,0.01820832110653771,0.01002575380351626
132,0.001186624669785621,0.018134468722688556,0.01008559427263301
133,0.0011959058796090244,0.018060891087488845,0.010145250093097614
134,0.00120512643324101,0.017987588074414352,0.01020472227572413
135,0.0012142858279655267,0.017914559473446046,0.01026401178460566
136,0.0012233836305504651,0.017841805008158768,0.01032311954601553
137,0.0012324194232809498,0.017769324388952405,0.010382046476126167
138,0.001241392803438388,0.017697117313563198,0.010440793481279216
139,0.001250303382779519,0.01762518346757506,0.010499361458255656
140,0.0012591507870154614,0.017553522524930892,0.010557751294545913
141,0.001267934655290763,0.017482134148443868,0.010615963868619984
142,0.0012766546396624481,0.017411017990308777,0.010674000050197547
143,0.0012853104045790677,0.01734017369261331,0.010731860700518086
144,0.001293901626359747,0.017269600887849384,0.010789546672610992
145,0.0013024279926732336,0.017199299199424443,0.010847058811565701
146,0.0013108892020169479,0.017129268242172785,0.010904397954801791
147,0.0013192849631960292,0.01705950762286684,0.010961564932339112
148,0.0013276150027311103,0.01699001693287371,0.01101856056302962
149,0.001335879190479892,0.01692079562369985,0.011075385590580305
150,0.0013440773523893518,0.01685184319248853,0.01113204077892744
151,0.0013522092858056496,0.016783159166847843,0.011188526904443677
152,0.0013602748010231502,0.01671474306368426,0.011244844734781009
