tijd,m1,m2,v
0.0,1248.3570765056163,930.8678494144077,3.9715328071510387
0.1,3889.914136610194,1706.3373056018677,2.821120080186347
0.2,5976.241946272433,3732.3533006749904,2.5990681145774928
0.30000000000000004,4996.767294856773,2334.2413045598933,2.763796956240985
0.4,4671.334071734044,135.7136892331364,0.5245502890523843
0.5,3068.187475801878,1545.3113432597709,4.661545674058173
0.6000000000000001,2361.8419950773996,912.0313246338083,7.358016285048878
0.7000000000000001,3876.9616734728083,3172.317329521124,1.2845178569966849
0.8,3210.1988817974593,3199.663822079056,1.9894931515862972
0.9,5285.759834284345,2094.793971633242,4.191674305765629
1.0,3138.0180867007384,5694.419145679721,5.0926539490420675
1.1,2132.628099509054,4119.592305717485,2.08238826379207
1.2000000000000002,5040.965350084302,58.11517234733037,1.8677866439155029
1.3,5054.796947185277,3895.73538291925,6.266513703107515
1.4000000000000001,4370.819142294292,2385.8306117742154,1.5589550385321695
1.5,2993.0065584111,2133.911106528965,9.447728831089956
1.6,5522.306084466196,324.22519256814803,7.4100229998431075
1.7000000000000002,3834.582487595678,1786.766036414895,8.574388232898727
1.8,7251.594834701567,3906.831385908441,3.916902382291517
1.9000000000000001,4075.3334433795167,3066.3344266030654,10.301242326743568
2.0,3692.555086668936,2354.965171687191,3.168724717949941
2.1,1965.680606736954,3602.275574814623,12.16854186831181
2.2,4748.34680699482,3795.8232087797733,8.741734849996355
2.3000000000000003,3360.13296352343,2944.5213713200155,13.350701794525095
2.4000000000000004,4904.5895503904085,4385.453951598471,-2.3806997417654454
2.5,7093.846162944004,2533.168879371894,6.6430987774043
2.6,5293.2119067300755,14.885256298179229,7.060020098235174
2.7,6003.522516193216,4108.296598757862,5.95945429790939
2.8000000000000003,3054.16419778563,1745.8606679429458,11.879378380387816
2.9000000000000004,6006.776685669817,1689.9818629188521,10.36451541608334
3.0,5442.621536235337,3365.923494237173,5.412145485970671
3.1,4366.629111479101,1798.2141271410842,2.2598947227817927
3.2,6031.142125428366,2494.145424634033,8.525712069479685
3.3000000000000003,4664.321276374042,636.0708887291898,6.773318003772433
3.4000000000000004,4403.844008194707,1285.2421013571336,7.948031119046998
3.5,6424.30968307213,4112.88096035567,9.468043925856767
3.6,6066.313694542391,2009.8487993511803,0.35601921075229725
3.7,5331.912984447367,2120.8045112642644,19.68115385588326
3.8000000000000003,4909.981021018382,2336.550073995576,8.714459229954858
3.9000000000000004,2269.9413389027513,3146.584413561228,12.264822665780049
4.0,7660.30752259583,1076.8352245524052,15.236315106509402
4.1000000000000005,1650.008096836972,2518.8736801061145,18.84313847485875
4.2,2798.4830976688645,1376.7179351014452,9.478246829534546
4.3,4168.996427116518,425.50788786582916,9.371144142612842
4.4,2624.742758419492,2310.0032975849845,4.911209774333562
4.5,9983.511847494861,1120.5543869892267,7.64885148919894
4.6000000000000005,7949.014050498512,698.5293634877564,10.181338869224335
4.7,9385.990216555521,351.5527085607621,10.010270654290705
4.800000000000001,6442.284422344366,2457.0543645924436,3.5042738224815144
4.9,1945.637404868833,2196.7307272175076,10.570510780678974
5.0,6471.091772224305,2015.6432980642437,6.085799474048712
5.1000000000000005,6445.605292284407,1942.6148886072583,5.9376744612937475
5.2,11208.370952466175,2066.863430937503,3.7407307587730783
5.300000000000001,7733.507445679795,844.8503688300514,12.910349958816813
5.4,9231.46340499329,958.3841763039579,13.74475576330245
5.5,7079.135517854218,2261.891903207675,18.09548167539039
5.6000000000000005,5167.695868754884,985.1951107724084,5.162295233449881
5.7,3500.73285351614,1499.2914615014179,10.893944549973932
5.800000000000001,6755.108395916641,2174.2672732106535,9.37535125787491
5.9,10283.75911405444,1316.3948142300958,22.001599141898097
6.0,7846.166935112089,855.1503456079403,4.333956234446372
6.1000000000000005,7443.930007125321,1311.2941543339402,12.668397378065013
6.2,7441.397750853546,1403.2370274012355,5.386241510226824
6.300000000000001,1464.5672815024054,1115.8836148975404,13.348759672822482
6.4,6705.647945419318,534.5048307325924,10.16107138696456
6.5,7247.3150313189335,780.3427164551298,10.074781950288585
6.6000000000000005,6273.058924820439,591.1750553483029,11.034019989148169
6.7,7828.800222421597,2098.335717094049,14.296750646711434
6.800000000000001,1908.311544453867,713.3203408806871,11.778579347895448
6.9,7731.014485613399,1666.6723321773998,27.418657173620534
7.0,7929.512492669761,2050.4882664405277,13.842823150560404
7.1000000000000005,8200.994275861056,1087.2564990988508,12.932301232097553
7.2,3806.312236688847,1123.006141773732,7.1013693814853855
7.300000000000001,6474.909615966574,2712.3110287642758,0.6224634988132536
7.4,8376.93130801785,240.3010821608184,7.167350016884363
7.5,9657.89079760311,1264.309528028689,4.3265932802941265
7.6000000000000005,4027.0171536798593,1620.0921727459352,5.9572421030429386
7.7,6965.173840677756,1220.9487811435456,6.327775767685372
7.800000000000001,13054.300650277313,1552.121468212173,-0.11800544886660624
7.9,6904.400484030382,778.6064131464786,13.3894247914427
8.0,3821.9935496252356,1083.0868665528094,11.759839284811083
8.1,9091.871879551585,453.6793244166438,7.819611743706475
8.200000000000001,4849.346535012936,754.4680062159691,17.68069078231588
8.3,7664.312065373412,408.96191428716315,13.7019980376587
8.4,13165.271806150766,1657.2534442118656,2.2571687479995903
8.5,4851.346192278025,1763.5424956106199,6.069566101549356
8.6,7837.997154054212,1479.5957994665978,5.040110380680181
8.700000000000001,6236.361743935952,-653.9210761816003,4.582633233358623
8.8,5627.2050675000055,391.5255556151485,17.06302983444978
8.9,1838.7003663785836,802.2714991795829,10.00951284268363
9.0,11124.919041034931,286.6962569177623,14.86015600534267
9.1,6510.896834574647,511.51439551825473,11.567129294922667
9.200000000000001,7135.613331183075,694.8028968181843,9.724429379094705
9.3,5248.870633159802,1036.9174014912128,12.507751876706084
9.4,11677.697427706331,369.63539944895683,19.419233028930954
9.5,156.29402173485414,886.0925804798874,12.161656791765035
9.600000000000001,7453.42325763082,652.8404725883338,8.41966126386716
9.700000000000001,4932.4827631012695,661.1253888143053,13.389996915202545
9.8,7727.172752814129,605.7659902630495,13.625217444543587
9.9,7576.2290110572,1289.1922678753344,12.356859842724234
10.0,3851.096696962802,652.6605300761832,12.910001538597502
10.100000000000001,8597.857900670797,887.3555452409266,9.949840254357204
10.200000000000001,10811.883549707087,624.6789891404062,11.96960728265119
10.3,5939.02404135832,782.0608333384109,14.562312697052619
10.4,9347.08601734088,1221.4572720699107,15.533868071764665
10.5,6695.295850048576,1152.1199555531523,7.940870332847831
10.600000000000001,7710.205333165894,794.9024388163816,9.85489152203186
10.700000000000001,8620.768538997474,497.2138913600426,19.23246233239715
10.8,3306.2257320036797,327.24226012503783,14.841886242892445
10.9,9297.710628755834,1081.7376373419693,12.35228835757078
11.0,6628.62064829325,450.0327111299214,9.755608832692682
11.100000000000001,4416.757461036195,1202.1179895746448,8.708283779625837
11.200000000000001,3926.22932031938,671.6006147075406,11.340129972895456
11.3,4806.988591048264,466.64391612968603,10.544781511341217
11.4,7522.256689490331,585.8727117764183,7.185779787127444
11.5,7487.459354578881,214.5107815036771,2.7848002535843914
11.600000000000001,4303.779225891962,687.837739060014,10.860839511731056
11.700000000000001,11683.783732758551,1089.980456543974,8.647980099820385
11.8,6666.944476268363,376.95617491385303,9.312685547750972
