tijd,N2O4,N2O5,T
0,0.0,0.0,310.0
10,5.754174669498461e-06,0.0009696573343034195,321.97533998726755
20,3.4643525252346954e-05,0.001868608113065053,325.4134116593508
30,9.017103685141095e-05,0.002695669433731021,326.40134224177655
40,0.00016762879855071594,0.0034577561390179406,326.6859074417266
50,0.0002625560924153618,0.004161428245327343,326.768463249062
60,0.0003717636587925608,0.00481187192678146,326.7929453221031
70,0.0004928498152086574,0.005413388389658158,326.8006903631061
80,0.0006238454966614618,0.005969753581896482,326.8035738619496
90,0.0007630499013579847,0.006484387066768581,326.8050115038001
100,0.0009089595294842907,0.006960427257592972,326.805987499908
110,0.001060234540644801,0.007400768984930978,326.80678920052003
120,0.0012156777293131655,0.007808089045243714,326.80750192412785
130,0.001374221248094788,0.00818486252107638,326.80815269901393
140,0.0015349166748507585,0.008533374809909832,326.8087523244042
150,0.0016969174676985921,0.00885574669284899,326.80930673282677
160,0.0018594740591036199,0.009153939763569874,326.80981952932024
170,0.0020219260800823386,0.009429766460623197,326.8102931509827
180,0.002183689905189106,0.009684908161178082,326.81073075120065
190,0.002344256678721143,0.009920916222375087,326.81113587418514
200,0.0025031857104761417,0.010139221471379948,326.81151222001887
210,0.002660096436621914,0.010341145406125457,326.8118609112687
220,0.0028146556715111866,0.010527919671254604,326.81218077332954
230,0.0029665800245695425,0.010700681698035201,326.81247724858855
240,0.00311563043485372,0.010860482436899535,326.81275194570543
250,0.0032616069741346096,0.011008294206366544,326.8130060575569
260,0.0034043450200884813,0.011145016220988152,326.8132411242055
270,0.003543711307894483,0.01127148074082898,326.81345872489555
280,0.003679600718432182,0.01138845808413144,326.8136605397427
290,0.0038119350654978517,0.011496657459895927,326.8138476488689
300,0.0039406568232267705,0.011596738429175798,326.81401980368634
310,0.004065728161778997,0.011689312399084283,326.81417689983425
320,0.004187132583638173,0.011774935882689675,326.81432152008
330,0.0043048640983541645,0.011854136542219451,326.81445949370243
340,0.004418934012824648,0.011927395588365563,326.8145862613433
350,0.00452936536530039,0.011995163227835481,326.81470317847044
360,0.004636190224391459,0.01205783001440603,326.81481101304695
370,0.004739451357143344,0.012115797006587728,326.81491087955277
380,0.004839199278976657,0.012169418694478672,326.8150035615457
390,0.004935490864410449,0.012219016567328137,326.8150893463652
400,0.0050283890019382094,0.012264893209965596,326.81516825430447
410,0.005117961248508495,0.012307328588387416,326.8152403420116
420,0.005204278923678396,0.012346582372338988,326.8153056440965
430,0.005287418442820221,0.012382889373084802,326.8153652754938
440,0.005367457149465604,0.012416471110718861,326.8154276187469
450,0.005444474655066456,0.012447532702917633,326.815480766398
460,0.005518551931071613,0.012476263411200774,326.81553097647077
470,0.005589771206216198,0.012502838103582848,326.815576686786
480,0.005658215813441321,0.01252741966936186,326.8156189605025
490,0.0057239675653095986,0.012550154762846549,326.8156580922449
500,0.005787106538093357,0.012571176753510344,326.81569425868037
510,0.005847721552068929,0.012590627397122633,326.81572758889456
520,0.0059058912431872185,0.01260861871361017,326.81575820227545
530,0.005961696462213261,0.012625259578109544,326.8157863067059
540,0.006015217393506519,0.012640652461026585,326.81581216154666
550,0.006066532310688904,0.012654889389733248,326.81583615704176
560,0.006115718810970914,0.01266805917644155,326.81585876707476
570,0.00616285245176548,0.012680240717207166,326.81588063128646
580,0.006208007295265077,0.012691507909141558,326.815901759432
590,0.006251255934962794,0.012701929713051665,326.8159215382922
600,0.006292675869988921,0.012711575269670311,326.81593865249806
610,0.006332316205308683,0.012720486033147424,326.8159525148002
620,0.006370265089926086,0.0127287346111832,326.8159656720474
630,0.006406579835212001,0.012736364138747647,326.8159785954718
640,0.006441322828891473,0.012743420223196125,326.8159906649009
650,0.006474552157882472,0.012749942735738696,326.81600191310315
660,0.006506333988790215,0.012755977216247107,326.8160123785142
670,0.006536726292312431,0.012761560354920409,326.81602209458083
680,0.00656578271640316,0.0127667242765931,326.81603109289574
690,0.00659355828624371,0.012771501768973252,326.81603941099337
700,0.006620104037620093,0.012775919860335005,326.81604709514806
710,0.006645471368847382,0.012780006523626685,326.81605419400285
720,0.006669709476772868,0.012783787192445467,326.8160607658204
730,0.006692864838062071,0.012787284164493604,326.8160668854012
740,0.006714983503134469,0.012790519755483468,326.8160727385532
750,0.0067361089276022565,0.012793513402749373,326.8160785509061
760,0.006756282609079209,0.01279628229872012,326.8160845626168
770,0.006775544431363587,0.012798842012535292,326.8160891549736
780,0.006793934427744937,0.012801209480059658,326.81608946194115
790,0.006811489546508114,0.012803399436066374,326.81609397541524
800,0.006828245985261745,0.012805425086198897,326.8160995639117
810,0.006844238574682314,0.012807298564965645,326.81610025440744
820,0.006859500333031223,0.012809031544183194,326.81610357584816
830,0.006874063786143934,0.012810634609853705,326.81610628233756
840,0.006887960258790099,0.012812117718593646,326.816108838945
850,0.006901219086018157,0.012813489831679223,326.8161111448081
860,0.00691386414748768,0.01281475804382644,326.8161132783407
870,0.006925931868467584,0.012815932739663423,326.81611531723826
880,0.0069374319413607905,0.012817016362803725,326.8161173463239
890,0.006948396774692059,0.01281801769404139,326.8161195142357
900,0.006958856917990436,0.012818945111985792,326.81612192802373
910,0.006968834991201973,0.012819804149807133,326.8161229696256
920,0.006978348709333811,0.012820598601474028,326.816123182583
930,0.006987419279847892,0.012821333491852856,326.81612491108194
940,0.006996067133495741,0.012822013286505162,326.8161259652404
950,0.007004311076799162,0.012822642063240434,326.8161269754001
960,0.0070121692077958035,0.012823223594265245,326.81612796035444
970,0.00701965769697438,0.012823761080153215,326.8161288536803
980,0.0070267948973438505,0.012824258164436742,326.8161296319196
990,0.007033598515575466,0.012824718299345575,326.81613024420136
1000,0.007040082079724116,0.012825143791219542,326.81613052950786
1010,0.007046260824077524,0.01282553741429378,326.8161303717968
1020,0.007052149091756712,0.012825901702957082,326.8161314560645
1030,0.007057759669005417,0.012826238645369954,326.8161332384518
1040,0.007063105592228834,0.012826550264344662,326.8161334197982
1050,0.00706819910277795,0.012826838537490753,326.81613411707355
1060,0.007073051760496307,0.012827105168605657,326.8161346151151
1070,0.0070776744564993,0.012827351741863087,326.8161350533465
1080,0.00708207726339162,0.012827579657209763,326.81613545977876
1090,0.007086271689226113,0.012827790526359628,326.8161358470806
