tijd,C6H5NO2,C6H6,N2O5
0,0.0,0.029585207096486446,0.0
1,2.0467292413438168e-07,0.029199870381547272,9.740946548670498e-05
2,8.19368262924319e-07,0.032086909497572765,0.0001896396252863053
3,1.6684486823288647e-06,0.028323565602603722,0.00028384861927877904
4,2.861700580008756e-06,0.02393657748881435,0.00032765070181064917
5,4.093932399923564e-06,0.02651197342913072,0.000509201699768548
6,5.641727335601649e-06,0.025247616914295928,0.0006775476262711046
7,8.198418858589294e-06,0.029497572134109362,0.0005897216943794069
8,1.0285283476216524e-05,0.02952358674130316,0.0006937512211389213
9,1.4179220901803739e-05,0.02735186085201715,0.000854136579458443
10,1.5738452655410063e-05,0.03437129650192006,0.0009738264652796044
11,1.798592453968961e-05,0.031276949625286724,0.0009393869158446629
12,2.425696625926943e-05,0.023156088808373602,0.0010097764734100837
13,2.822615675679599e-05,0.03081948966734626,0.0012799586937507527
14,3.149944430088381e-05,0.027739132276566346,0.001152018781314045
15,3.37001146892672e-05,0.02718772322922482,0.0015977085668427867
16,4.242338876159278e-05,0.023393711823884666,0.0015874036729248908
17,4.419167026212701e-05,0.026385531574507227,0.0017294360012496662
18,5.6423847950129524e-05,0.030828163606556276,0.001577017144673013
19,5.482440404293858e-05,0.029033272010664673,0.001989641643171375
20,5.924389849102796e-05,0.02748308492242662,0.0016930657837149771
21,5.995535224353839e-05,0.030170963317092302,0.002264585241090382
22,7.365811375740892e-05,0.03059481665757539,0.002159542965578503
23,7.530219682744645e-05,0.028706725772379427,0.002508132419961501
24,8.669199572567565e-05,0.031925919974122946,0.0016701562291170022
25,0.0001014142957807466,0.027747067768743635,0.0022814890562300873
26,0.00010153754748669793,0.021961166989108803,0.0023866055024719408
27,0.00011155167632415794,0.031346394693907674,0.0023971805258219954
28,0.00010568396503008553,0.025846349165571873,0.0028552659139819176
29,0.00012645785467201771,0.025676969911846412,0.0028417621392311005
30,0.00013132120440282453,0.02963186632859258,0.002593984482834243
31,0.0001333352937722665,0.025861503746338013,0.0024553345577779345
32,0.00015012621215394967,0.027519072847297727,0.002963851971564363
33,0.00015031191302924336,0.022939076172050408,0.0029197997499883343
34,0.00015663157021487977,0.024487466314436296,0.003082777757425615
