Tijd,S,X
0,0.02,5e-05
1,0.019985045120084085,5.5259620147960105e-05
2,0.019969944817641336,6.106969213525915e-05
3,0.01995456052675532,6.748360495849594e-05
4,0.01993873789848492,7.456543398295941e-05
5,0.01992230151949868,8.238906698942659e-05
6,0.019905096618638984,9.103123742890467e-05
7,0.019886958745662247,0.00010057186125964944
8,0.019867707077449327,0.00011110795830329402
9,0.01984715968671693,0.00012273649134904018
10,0.019825110253083852,0.00013557547109638684
11,0.01980135262447396,0.00014974238937612893
12,0.01977564972978326,0.00016537966830813816
13,0.019747764799340026,0.00018262913420219158
14,0.019717421694920915,0.0002016623336352163
15,0.019684345758673727,0.0002226495081049929
16,0.01964821785105901,0.0002457932508623007
17,0.01960870440090274,0.0002713063089711601
18,0.019565437385532562,0.0002994257343449589
19,0.019518018815963965,0.00033040946103681505
20,0.019466021173864947,0.00036453600651330465
21,0.01940897814871695,0.00040211065974995005
22,0.01934639138445832,0.0004434607611836364
23,0.01927771058205633,0.0004889492356689093
24,0.019202341381689896,0.0005389692581629519
25,0.019119649175733774,0.0005939410792998813
26,0.019028945863513124,0.0006543215639758323
27,0.01892949894608628,0.0007205974512896994
28,0.01882052628393981,0.0007932892294941915
29,0.018701192118501467,0.0008729536325784352
30,0.018570610874846082,0.0009601811367322011
31,0.018427850820689238,0.0010555933627672447
32,0.01827193263386724,0.001159844100317256
33,0.01810184667246673,0.001273607641445517
34,0.017916543796658996,0.0013975849758552533
35,0.017714948143359412,0.001532495212909471
36,0.017495999420857007,0.0016790471214781933
37,0.01725863822586169,0.0018379490577985363
38,0.017001848910613345,0.002009880207704585
39,0.016724662292337315,0.002195488757560501
40,0.016426233810752748,0.0023953394887068374
41,0.016105849399996694,0.0026099098613174047
42,0.01576298358634038,0.002839551070528129
43,0.015397352707440823,0.00308445238037441
44,0.01500897713784016,0.003344599425221748
45,0.014598227006120932,0.003619743573752619
46,0.014165917285344725,0.003909338208509815
47,0.013713355235221976,0.004212506935472728
48,0.013242395334418644,0.0045280067754645765
49,0.012755486486217098,0.004854196530183249
50,0.01225570351137503,0.005189015677620451
51,0.011746736860082853,0.005529991261389783
52,0.0112328507511237,0.005874265933897012
53,0.01071881714987571,0.006218642187866616
54,0.010209750824771775,0.0065596928657113505
55,0.009710973691585852,0.006893852045969297
56,0.009227743775297934,0.007217596636822948
57,0.008765053569783764,0.007527581472666623
58,0.008327371817315282,0.007820812320003675
59,0.007918418198354779,0.008094796833525437
60,0.007540991066005921,0.008347659972419022
61,0.007196873038546895,0.008578207251936152
62,0.006886806130014489,0.008785941404585587
63,0.006610546090220317,0.008971025971140911
64,0.006366994722724967,0.009134196646533706
65,0.006154370006413425,0.009276647297433677
66,0.005970389337251176,0.009399907189388343
67,0.00581246174337876,0.009505712201917368
68,0.005677857846254538,0.009595890953835713
69,0.005563844101031598,0.009672274861552886
70,0.005467790440927161,0.009736626016753677
71,0.005387243882739469,0.009790587870170604
72,0.005319968252509417,0.009835658614914486
73,0.005263964827061644,0.009873177356203194
74,0.005217476706947788,0.00990432118111019
75,0.005178974429910176,0.009930114797146023
76,0.005147152104217731,0.009951433122651754
77,0.005120897577859819,0.009969021273077779
78,0.0050992660326422785,0.009983512252841048
79,0.005081467564714123,0.009995435276008961
80,0.00506682975957871,0.01000524084070815
81,0.005054798857654782,0.010013299948168785
82,0.005044922022082826,0.010019915983147807
83,0.005036817074970226,0.010025344990358277
84,0.005030168038216971,0.010029798662031597
85,0.005024716223719926,0.010033450307379848
86,0.005020246250865367,0.01003644422068069
87,0.005016581617616609,0.01003889864859391
88,0.005013579930783351,0.01004090898581765
89,0.005011121177206555,0.010042555633216781
90,0.005009107757651768,0.010043903975113977
91,0.005007457859151626,0.010045008819672905
92,0.005006106872882087,0.010045913448953935
93,0.005004999751146854,0.010046654739565158
94,0.00500409376401798,0.010047261315773348
95,0.00500335151243211,0.010047758230568707
96,0.005002743890692788,0.01004816498084364
97,0.005002245684735579,0.010048498456424977
98,0.005001838778291161,0.01004877079204332
99,0.005001505537479297,0.010048993799435142
