Tijd,x1,x2
0.0,-0.9503285846988767,0.0
0.5,-0.9015104642175235,0.16243618994313277
1.0,-0.8831557736715404,0.25246710544319373
1.5,-0.5981785846799419,0.3731462136341168
2.0,-0.5464087579159804,0.42341492332647596
2.5,-0.32893852561158143,0.40327205050903464
3.0,-0.10176258476445672,0.3334043458336407
3.5,0.07712607152232946,0.3523815337031613
4.0,0.23841822780124206,0.32148073491536855
4.5,0.3656609720917157,0.2007457845599113
5.0,0.5704388612181588,0.1433577743427117
5.5,0.5522034569334953,0.04927649960532378
6.0,0.5254716823070598,-0.027025535911838743
6.5,0.46266655450433164,-0.09827718205455635
7.0,0.42862223381194114,-0.16728029662730678
7.5,0.34134120013571734,-0.16758725228631566
8.0,0.25310796392807633,-0.2544802272410484
8.5,0.1473731202141404,-0.2647451578341502
9.0,0.02082278220723758,-0.268442024004355
9.5,-0.09720487030112333,-0.19424376712110944
10.0,-0.1628361821608713,-0.1575362164575412
10.5,-0.24762668229968807,-0.11810838811475544
11.0,-0.3326990894371649,-0.06993508693159389
11.5,-0.3243313337485634,-0.014216682483656467
12.0,-0.2958136526715668,0.024609185312237374
12.5,-0.272140972793946,0.06651146998436834
13.0,-0.25476246256952717,0.10593409802390441
13.5,-0.16422159657359695,0.13170330541217184
14.0,-0.12994458263463876,0.12658782623743858
14.5,-0.05238627157051731,0.14327549660970962
15.0,0.008675392346935462,0.11895345105343469
15.5,0.05846313083449777,0.09169912987207879
16.0,0.12143384782826613,0.0923807338736515
16.5,0.14542875946203995,0.06045151365517698
17.0,0.17305677935848837,0.02539397799126063
17.5,0.18002935053957014,8.260394323733749e-05
18.0,0.16691886030756556,-0.02060813914885957
18.5,0.11070328598084328,-0.04118068833528826
19.0,0.1245828466552646,-0.061978303608949466
19.5,0.09161016394847946,-0.08363018215632036
20.0,0.05352068635870327,-0.07086457629456196
20.5,0.02091052747037773,-0.07536025548071468
21.0,-0.01740696780115774,-0.0681549543094503
21.5,-0.0418067183149365,-0.052407881210672747
22.0,-0.07352197478716416,-0.038569006473304704
22.5,-0.08557031727936248,-0.023053803813994966
23.0,-0.1019778960459078,-0.010354834835346572
23.5,-0.1003500492488879,0.004020594547825973
24.0,-0.08817807456942997,0.018172027069852097
24.5,-0.07923039983031534,0.027554406297381116
25.0,-0.0720928799158406,0.03421918550279822
25.5,-0.04560295420560839,0.03677194690076159
26.0,-0.02409873430109281,0.0426526688618253
26.5,-0.002918917068882774,0.03968952332850573
27.0,0.015244667539618732,0.03418680808491955
27.5,0.024656243877133555,0.02779552301764752
28.0,0.0427619598166874,0.024857303766404257
28.5,0.04937659900374275,0.011701652395622571
29.0,0.053680340417644565,0.0024595997290108355
29.5,0.059317442911240546,-0.00478176738972295
30.0,0.052751729893660296,-0.013093874937164726
30.5,0.047301543539664044,-0.019762597291691924
31.0,0.03371093308185996,-0.016342708567075457
31.5,0.018794626114865154,-0.02397927872412673
32.0,0.00953923219023682,-0.02382589247928094
32.5,-0.0017953297329322013,-0.020921170216485915
33.0,-0.01260743395753375,-0.01724971309647319
33.5,-0.021286572662322506,-0.011953585128545698
34.0,-0.027430930764208866,-0.009866482708645966
34.5,-0.02665250590297889,-0.00531188543580643
35.0,-0.029502423647006643,-2.1621823250193027e-05
35.5,-0.03379205137892891,0.004312188888088678
36.0,-0.025395520088044327,0.008396140088687946
36.5,-0.02413007050786971,0.009070240390720047
37.0,-0.01496510374774626,0.012478260642125398
37.5,-0.009287020035673789,0.013210676314795552
38.0,-0.0033988978884046755,0.01273997835312071
38.5,0.002864315727191604,0.01047458609639789
39.0,0.009472401216747419,0.009867706922705326
39.5,0.010677978784181011,0.007535119714920028
40.0,0.013544783288242556,0.00479228842636941
40.5,0.01847190079510497,0.001605797715597793
41.0,0.018395563086376243,-0.0007781638048087818
41.5,0.01709098292994017,-0.0024888335951559052
42.0,0.013441933168683421,-0.005267479035255732
42.5,0.010004753932426775,-0.0067099872696819215
43.0,0.007611360799289776,-0.006708257836145919
43.5,0.004244751695080194,-0.006534137543953336
44.0,0.0006351698816237177,-0.005793949338346531
44.5,-0.0026421934134771025,-0.004358601469696078
45.0,-0.004963323748424958,-0.005261194094871485
45.5,-0.008171079674687184,-0.0033019627027688386
46.0,-0.008940190254144973,-0.001836573031753821
46.5,-0.008915920995003369,-0.0004914406018422323
47.0,-0.010033963152724031,0.0007592793435155518
47.5,-0.008875998153948813,0.0022608449420378966
48.0,-0.007057316569866812,0.002634542337475919
48.5,-0.005441688762760203,0.003774767962015141
49.0,-0.003950861921102814,0.004003298552685578
49.5,-0.0016369356963169726,0.0034911872195040865
