tijd,N2O4,N2O5,T
0,0.0,0.0,410.3917234056073
10,1.0136064579814931e-05,0.0008561330657272297,284.28217682861924
20,6.199827477877708e-05,0.0025856254936365564,249.02678085246504
30,0.00011463263769355753,0.002071058978948668,250.39393389814472
40,0.0001879087209893241,0.00014992788320431676,44.93273375325845
50,0.00018874008416966268,0.002054016229374239,378.1115222251992
60,0.00020297848249881185,0.0014139596605090418,566.2747843238976
70,0.0004372129112220157,0.005596166589274192,93.99634493903565
80,0.00045404014108379564,0.006300843845513335,138.72916656507002
90,0.0009063880692775124,0.00453700019041342,279.1415218754109
100,0.0006354960499144811,0.01340675103964339,324.60050057041366
110,0.0004995237101965286,0.010444501422034007,127.31679251908338
120,0.0013426331397689483,0.00015744963196518032,109.77691955864105
130,0.0015094866947235625,0.011206986237912322,354.81042840246363
140,0.0014461614363229787,0.007248659464353635,85.21178884631735
150,0.0010861593620752688,0.006816096556586409,499.54799767405996
160,0.002178948706946675,0.0010845580720972043,379.7667313044496
170,0.0016326221272066732,0.0062381582731516495,426.76134678577733
180,0.0033093815299537043,0.014194589374163766,189.67808473939905
190,0.001981820090104922,0.011564134597620714,486.22064141987744
200,0.0019034546579748289,0.009198002730107846,146.0300092816162
210,0.001069083947531653,0.014542369243930493,548.4295247010601
220,0.002713313822955038,0.015810476539488895,385.9057097693374
230,0.002009680335836159,0.012634271368842319,578.137247441417
240,0.003059820085948108,0.019356874908886684,-101.2703014862235
250,0.0046019684442990755,0.01148741407485027,277.9532605380291
260,0.0035605376914075258,6.927232420876964e-05,290.91740030018036
270,0.0041764632368232095,0.0196005078719739,242.1246174308369
280,0.002192133897405384,0.008531338554491338,476.39661901576636
290,0.004438524006864392,0.00845142166059877,410.68529999318605
300,0.0041319314768370145,0.01721329972214649,212.0936229408502
310,0.0033996355532932444,0.009397575050989398,87.66546032263327
320,0.004807080014024698,0.013311890428567823,327.6498969516941
330,0.0037999312341529196,0.0034651375251554123,258.077972594645
340,0.0036617175959401996,0.007142856407585609,300.4593246973468
350,0.005444412343638249,0.02330771710936662,355.34200121956246
360,0.005233216526269999,0.011609001915618413,13.2733849604316
370,0.0046766207456528834,0.012480665505242548,729.3270366128728
380,0.004373762757940626,0.014004246627011184,321.1428399916224
390,0.0020514909753562836,0.01920110201936794,449.68661997637093
400,0.007017197173284722,0.0066881232001956515,556.0423976316856
410,0.0015306515407328236,0.015918650132300427,684.7523812458114
420,0.0026267652636706496,0.0088506615894344,343.09910131358095
430,0.003956375213277737,0.0027820425121947868,338.0190821032969
440,0.002516522317894082,0.01535664447733729,176.57441548166727
450,0.009663763947633207,0.007572747217406025,274.18813613884157
460,0.0077632704365093105,0.004797969693561971,363.98425062823173
470,0.009243085671367224,0.002453786785611487,356.98618716285677
480,0.006393452281470194,0.017424531280291887,124.68821286087552
490,0.0019448421529631166,0.015825378475673797,375.34527880525195
500,0.006511920944084489,0.014748807592272175,215.6943185108102
510,0.0065267990272869746,0.014435610552951067,210.08508837067157
520,0.011415421916753085,0.015595808030476634,132.14738035862248
530,0.007918783125136088,0.006472455031786895,455.43162313770165
540,0.009499819532949065,0.007453672477429809,484.2390882095617
550,0.007318606725937095,0.01785642958795159,636.7668284784713
560,0.00536535645245718,0.007893872009689173,181.46214766518972
570,0.003648993244328107,0.012191406599667666,382.56282217068843
580,0.007066856545651819,0.017940609282866612,328.9405142687604
590,0.010794462698212966,0.011021103466117989,771.3132179978095
600,0.008261236780949331,0.007263663871494185,151.82357017761763
610,0.007859900152138104,0.01129920841331457,443.4893283011727
620,0.007877589649456285,0.012265224660568012,188.4431123242728
630,0.0015540849936623389,0.00989287562728713,466.7583836128757
640,0.007130846289685839,0.004805933850467129,355.1151385880603
650,0.007721930894078952,0.007115376886678064,351.935914172496
660,0.006695696670424779,0.005466125677259808,385.2813315727444
670,0.008369573771229037,0.019672272258546848,499.0157194551575
680,0.0020430438538777927,0.006780247424452454,410.97692204389733
690,0.00828739709324011,0.016060467987354887,956.3832627558877
700,0.008509781325059508,0.02002986766788368,482.7075897284724
710,0.008809872324082558,0.010765435022025448,450.83771714215675
720,0.004092449648127734,0.011270067856557615,247.50375939540515
730,0.006966851112384726,0.027586382582410415,21.689933847978068
740,0.009019096431745859,0.002476782650266983,249.6986132498129
750,0.010403753846577097,0.013204697045662768,150.70391755011963
760,0.0043398856035377215,0.017144444621191537,207.46830312612616
770,0.00750885682699507,0.013090475402110023,220.33935050669635
780,0.014076842207558737,0.016858674579103394,-4.108500925198598
790,0.007446505354484759,0.008566841211160404,466.1105604016849
800,0.004122482710041864,0.012070800633268187,409.33508598680464
810,0.009806956122767675,0.005121021339156214,272.15590554049817
820,0.005230556572991125,0.008624774169796356,615.3055415009119
830,0.008265998842827593,0.00473427279764684,476.80214010292104
840,0.014196624032774174,0.019426150947863523,78.5388187590195
850,0.005230316373135716,0.020930266395551136,211.1772197800809
860,0.008448117763597026,0.017778132027429176,175.34820627813644
870,0.006719797588202433,-0.007953999371133079,159.42292055730778
880,0.006061344760938112,0.004820587632566337,593.5652794779173
890,0.0019798019057044,0.00999776868571774,348.1801835800814
900,0.011973664217156718,0.003615826059812253,516.8864552512902
910,0.007004491248052175,0.006528429810919071,402.32755590438376
920,0.007672902694176564,0.008973028773532453,338.22234658583255
930,0.005641245452098192,0.01354905536214088,435.01361552694664
940,0.012544007193798768,0.004886369900405226,675.3709779951025
950,0.00016779597825918122,0.011849499091152325,422.9519024035381
960,0.007997350469082117,0.008830716006914707,292.8072739582743
970,0.00528930879417766,0.009044824664095646,465.64796306087044
980,0.008281132194869815,0.00838123239731774,473.81800438514557
990,0.008114309242512852,0.018037082144504987,429.70256104800785
1000,0.004121985619437526,0.009232942596399007,448.9299327274231
1010,0.009196674868830336,0.012691500326591,345.98837107160915
1020,0.011557290758958599,0.009032183461212004,416.2162562779324
1030,0.0063442460951468336,0.011430223114768151,506.3651342676379
1040,0.009978107007456063,0.018043811382690123,540.1419014276323
1050,0.007142428770069729,0.01720048886397204,276.1160431496154
1060,0.008219474455577329,0.01199242584593673,342.6660577912067
1070,0.009183838294769774,0.0075795494887114425,668.7290962905081
1080,0.003519730851343714,0.005040029082503936,516.0607955153991
1090,0.009891240157049126,0.016830829664607097,429.49286150438957
