tijd,m1,m2,v
0.0,1000.0,1000.0,3.0
0.1,2208.2777013852688,1932.5996733544482,3.1951742704942703
0.2,3339.416935690222,2697.337907454414,3.396307896702775
0.30000000000000004,3930.5009197025333,3038.2248886261614,3.6027511615666907
0.4,4167.183481166317,3129.9370875206196,3.8137716729837567
0.5,4268.151717682544,3130.794284729229,4.0285630739654446
0.6000000000000001,4325.813311689504,3103.7504462968845,4.246256199435096
0.7000000000000001,4370.318888802992,3068.705251351054,4.465932401121734
0.8,4410.773265589753,3031.5311775775076,4.686638637069269
0.9,4449.858351917225,2993.9286680888667,4.907403816216667
1.0,4488.3543241292155,2956.390412602358,5.127255811027224
1.1,4526.483783041236,2919.0623596829255,5.345238510126044
1.2000000000000002,4564.306606785694,2881.991116168447,5.560428272895804
1.3,4601.835441086014,2845.1947607304955,5.771949196635856
1.4000000000000001,4639.069342992823,2808.6830321310026,5.978986686823444
1.5,4676.00362086856,2772.463105179611,6.180798889925325
1.6,4712.632691975652,2736.541231823193,6.376725709934414
1.7000000000000002,4748.950910742637,2700.9232060816985,6.566195258987682
1.8,4784.952805753043,2665.6144941114517,6.748727622363618
1.9000000000000001,4820.6331595681195,2630.620276797242,6.923936211114277
2.0,4855.987028306667,2595.9454605252945,7.091526748348582
2.1,4891.009718732081,2561.5946677766965,7.251294165330303
2.2,4925.6968204490195,2527.572254290142,7.403117802473423
2.3000000000000003,4960.044217847651,2493.8823164160613,7.5469552356044085
2.4000000000000004,4994.04803041777,2460.5286671197587,7.6828351722507495
2.5,5027.704643902713,2427.5148538076114,7.810849481593833
2.6,5061.010767681575,2394.8441862121063,7.931144882793174
2.7,5093.963342058649,2362.5197006616677,8.043915120564119
2.8000000000000003,5126.55946321678,2330.544135671969,8.149392708647111
2.9000000000000004,5158.796627732044,2298.92003637626,8.247841259968189
3.0,5190.6726462522965,2267.649722328684,8.339548344297617
3.1,5222.185340833563,2236.7351767396394,8.42481897645987
3.2,5253.332924822863,2206.1781994647313,8.503969729230075
3.3000000000000003,5284.113834846318,2175.98035021381,8.577323512451455
3.4000000000000004,5314.526739189701,2146.142956678922,8.645205151746
3.5,5344.570531743735,2116.667120363195,8.707937577572382
3.6,5374.244330909694,2087.5537236866426,8.765838663300737
3.7,5403.547476839797,2058.803429860367,8.819218567967901
3.8000000000000003,5432.479522023443,2030.4166949061957,8.868377773419883
3.9000000000000004,5461.040226587628,2002.3937709939194,8.913605469393001
4.0,5489.229552324922,1974.7347108495564,8.955178429411406
4.1000000000000005,5517.04765886418,1947.4393743225426,8.993360224983428
4.2,5544.494898305607,1920.5074352292202,9.02840060701117
4.3,5571.571807145494,1893.9383850970505,9.06053550870656
4.4,5598.27909492823,1867.7315381271685,9.089986893887449
4.5,5624.61764554522,1841.886039109599,9.116962943602774
4.6000000000000005,5650.588524160495,1816.4008728578892,9.141658362563359
4.7,5676.192964093599,1791.2748678023015,9.164254792806219
4.800000000000001,5701.432338650906,1766.5066956780238,9.184921269015456
4.9,5726.308113156958,1742.0948662465623,9.203814813270087
5.0,5750.82188884072,1718.0377473546293,9.221080990738566
5.1000000000000005,5774.975577804597,1694.3336167763814,9.23685452548576
5.2,5798.77120103784,1670.980617539614,9.251259887568613
5.300000000000001,5822.210717333772,1647.9767196151884,9.26441195325108
5.4,5845.296223642723,1625.3197780677028,9.27641660311777
5.5,5868.0300717086475,1603.0075724623046,9.287371310685481
5.6000000000000005,5890.4147588269025,1581.0377908695261,9.297365713107029
5.7,5912.452724543326,1559.407971645336,9.306482165325583
5.800000000000001,5934.146523458103,1538.1155600380746,9.314796270885516
5.9,5955.498850915777,1517.1579194751907,9.322377383264222
6.0,5976.5125554010665,1496.5323530098615,9.329289076672291
6.1000000000000005,5997.190511698884,1476.23606587319,9.335589588610551
6.2,6017.535619640795,1456.2661681851946,9.34133223971862
6.300000000000001,6037.550874790324,1436.6197040419565,9.346565822216773
6.4,6057.239412917089,1417.2936792901714,9.351334963502605
6.5,6076.604390601312,1398.2850251659256,9.355680464954748
6.6000000000000005,6095.648967570945,1379.590587938497,9.359639613572503
6.7,6114.376388805026,1361.2071623778425,9.363246473152891
6.800000000000001,6132.790019316585,1343.1315323488448,9.366532152821886
6.9,6150.89322367161,1325.36042258929,9.369525055916522
7.0,6168.689378009953,1307.8905063664533,9.372251108063537
7.1000000000000005,6186.181893616873,1290.7184078404796,9.374733966611942
7.2,6203.374257326415,1273.8407359181317,9.376995214009463
7.300000000000001,6220.269989880554,1257.2540732257285,9.379054536896932
