tijd,C6H5NO2,C6H6,N2O5
0,0.0,0.028755621289459337,0.0
1,2.587772661589139e-07,0.02779963372953461,9.273867382670267e-05
2,1.0428647789736984e-06,0.03666081392681483,0.00017095630177708948
3,1.8401780509191878e-06,0.025570872656434006,0.00025611776120760854
4,2.996913648465975e-06,0.012610011904835843,0.0001910549491765134
5,3.6061092878792422e-06,0.020536309210500363,0.0005402297080652975
6,4.51483824332854e-06,0.01694334028925972,0.0008507688480866007
7,7.81966577565679e-06,0.029893283583507915,0.00039376128815857075
8,9.100986253058149e-06,0.030171367924437146,0.0005132782591524894
9,1.5206063661697895e-05,0.023856179533462724,0.0008028101595296256
10,1.3723207836315107e-05,0.04511441300537945,0.0009711941214144054
11,1.3731105935221347e-05,0.03603122803010376,0.0006781215948161714
12,2.52495149655327e-05,0.011868418744375334,0.0007004591766941496
13,2.9316028625098384e-05,0.03505830029497291,0.0013230884507860695
14,3.076234858967181e-05,0.02601680120326352,0.0007522559468471304
15,2.8472005824273648e-05,0.02456202972358848,0.001903208171979636
16,4.5242025698081004e-05,0.013379324451255944,0.0016870642500527873
17,4.065187311435014e-05,0.02255397577005346,0.0019288116637252762
18,6.697102641303005e-05,0.0360809163606351,0.0012880766692088038
19,5.1325744308305704e-05,0.03089512779916221,0.0023433343640767027
20,5.328051871376852e-05,0.02644328379668012,0.0012718450868836472
21,4.366260514227619e-05,0.03470546102545798,0.002805489826472593
22,7.258959338379762e-05,0.03617537070430953,0.0023102852869847984
23,6.49164017206704e-05,0.03070925225388114,0.0031768076062841473
24,8.606859616609781e-05,0.04056478332871043,0.0004844563675258098
25,0.00011681873389094883,0.02822595933832503,0.002140847366773083
26,0.00010338403679836558,0.011065763990772068,0.0022793963924627497
27,0.00011924426549194207,0.039418720481488416,0.002135121322921383
28,8.70918418320629e-05,0.023115615112067476,0.0033341702064811915
29,0.00013450784244057354,0.022804257688016413,0.003119237047579347
30,0.00013384635896136952,0.034865467909116876,0.0022022604065342526
31,0.00012430150499506877,0.023750633509075143,0.001613437967755302
32,0.00015876158437987654,0.028919318506585228,0.002966881528124005
33,0.00014309025404333882,0.015375022725357785,0.0026633732683250385
34,0.00014551459268514116,0.02021559637881371,0.0029817060137112793
35,0.00019128584429477802,0.04153565348131577,0.0033867925453754627
36,0.00019300871686852856,0.025838202115003185,0.0014016058503109464
37,0.0001863701066096933,0.026806986029113574,0.0058898960866902335
38,0.00018534640865239344,0.02860737200888283,0.0034346871812137975
39,0.0001335550144678715,0.035098262199915346,0.00435608544665825
40,0.0002657098879805755,0.018936194533907675,0.005168192669138874
41,0.00012977069476658527,0.030511475955766667,0.006164866962010072
42,0.00016396019640599693,0.021456257346241885,0.003916290870140539
43,0.00020605983118664634,0.013771786089832936,0.00396458584424729
44,0.0001718725497108559,0.02930021740066459,0.0028723666870021
45,0.0003837077794537776,0.01955349381059767,0.0036567073729383334
46,0.00033797622978526366,0.016060954172492974,0.004410595006233381
47,0.0003919206049274117,0.013134486249992137,0.0044427356126360805
48,0.00031419094767983,0.031200515156232393,0.0026980141461876673
49,0.00018206428171282907,0.02912013611207458,0.004759355724105411
50,0.00033503448101293657,0.027689806767711673,0.003541958927993724
51,0.0003442395152232453,0.027185128820480915,0.003558525540394839
52,0.000517977962457103,0.02843225118317542,0.00296129202435127
53,0.0004098965547975673,0.017547892541555414,0.005793723465689129
54,0.00047551945755571184,0.018622692298421038,0.0061427363332689465
55,0.0004083571011634617,0.030680964092720673,0.007599792376620836
56,0.0003463898043666021,0.018973731257415822,0.003608127270114122
57,0.0002904212446720989,0.023859296757849126,0.005510579786312327
58,0.0004280131890955534,0.030368869607771666,0.0050959791439551495
59,0.0005829512618938957,0.022313570072544586,0.009358287042428741
60,0.0004949376743078891,0.017936330965224304,0.0035495773902755132
61,0.0004894336797834843,0.022440176592012282,0.006442592670654698
62,0.000500668920087509,0.02343679620619037,0.004014815629532573
63,0.0002451375067381823,0.02067093439597886,0.006860015805653346
64,0.0004898661792535629,0.014890584223494662,0.005820719887625366
65,0.0005257769438131784,0.017404496335453015,0.005867046277545017
66,0.0004907496809408945,0.015503326867937353,0.006293292418058424
67,0.0005763938334339211,0.031138238173403485,0.007578152283346975
68,0.00029597743507541277,0.016824456715782643,0.006733296804322954
69,0.0005950687644012522,0.026923749501583303,0.012732684739859196
70,0.0006169502873629461,0.031143690561030214,0.007691406266873566
71,0.0006430143289259663,0.020951157692211144,0.00743172718377
72,0.00042177735316327946,0.021412173127615227,0.005234531233704263
73,0.0005740392537211072,0.03890341455920236,0.0027266915818056287
74,0.0006891460247328059,0.011805437963381817,0.005384202772839287
75,0.0007730756264291234,0.023220627171475158,0.0042932553387563036
