tijd,N2O4,N2O5,T
0,0.0,0.0,350.15668936224296
10,7.506930633625049e-06,0.0009242476268729436,306.89807472380824
20,4.5585425062919004e-05,0.0021554150652936545,294.8587593365965
30,9.995567718826959e-05,0.00244582525181808,295.99837890432383
40,0.00017574076752615921,0.0021346248366924912,213.98463796633933
50,0.00023302968911708216,0.003318463438946101,347.3056868395169
60,0.00030424958827506124,0.003452707020272493,422.5856809228209
70,0.0004705950536140007,0.005486499669504571,233.67895219347793
80,0.0005559233544303953,0.006102189687343223,251.57381094319777
90,0.0008203851685257957,0.005705432316226517,307.7396156524444
100,0.0007995741376563668,0.009538956770413139,325.92379272811024
110,0.0008359502084654921,0.00861826195977219,247.01079052794535
120,0.0012664598934954787,0.0047478332799323,239.9952689779331
130,0.0014283274267462979,0.009393712007810757,338.0090629803938
140,0.0014994145794396466,0.008019488671687353,230.16996693316946
150,0.0014526142254492628,0.008039886638343957,395.90478310932
160,0.001987263918240842,0.005926187086980806,347.992584239372
170,0.0018662044989320725,0.008153123185634577,366.7907146049006
180,0.0026339665550949454,0.011488780646372355,271.95767234648
190,0.0021992820432746546,0.010578203572473337,390.57493809246205
200,0.0022632932894756166,0.009762733974871107,254.4989110446578
210,0.0020236914409858093,0.012021634941247472,415.45892642718525
220,0.0027741189320887273,0.01264094241854832,350.4495923717327
230,0.002583820149076189,0.011474117566358048,427.34238532571993
240,0.0030933062952914754,0.014259039425694394,155.57953057293383
250,0.003797751562200396,0.011199942153760035,307.26910784974575
260,0.0034668220886160993,0.006714718662276398,312.45490479459545
270,0.003796812079465974,0.01460309159328695,292.9379222072721
280,0.0030846139900214628,0.010245610272275399,386.64684393015216
290,0.004062570642044468,0.010278563140177065,360.36242858659574
300,0.004017166684670869,0.013843362946364075,280.92586105855185
310,0.003799291118384696,0.01077261745984633,231.15469026895386
320,0.004435111555792783,0.012389717701040935,327.1485516927256
330,0.004102890952673666,0.008498536935393836,299.3198647340795
340,0.004116047446070869,0.010013579916053582,316.2724816357447
350,0.0048953841566355336,0.016520184780447936,338.22562239490725
360,0.0048750007451428745,0.011878298774890984,201.3982405920008
370,0.00471431911254716,0.012261744406049655,487.8197611728808
380,0.004653024670562244,0.012903349867491677,324.5461381335764
390,0.0037818909087887825,0.015011850748144057,375.9637015983675
400,0.005823912270476814,0.010034185206057618,418.5060600052569
410,0.0036830373653982265,0.01375185720595262,469.9900967035315
420,0.004173273459675297,0.010948214059177152,333.32882391189025
430,0.004755001151003227,0.008542550628728794,331.29685200661504
440,0.004227083216836995,0.013592540457366234,266.71902276391506
450,0.007132190372093157,0.01049761850871299,305.76454291537544
460,0.006416439333246692,0.009404945924145253,341.68301883717515
470,0.007051096992276608,0.008483217576394303,338.8838208772143
480,0.00595231040065287,0.014486264313733871,245.96465652065172
490,0.004212317400371006,0.013860244247977448,346.2275063774477
500,0.00607703230048981,0.013442229089015077,282.3671439595323
510,0.006119352542156147,0.013328620659454006,280.12347190160534
520,0.008109703512613566,0.013803494440356756,248.94840706481426
530,0.006744531127382392,0.010164137759580485,378.2621210391042
540,0.007409058249283538,0.010565860467587875,389.7851225807527
550,0.00656736207678818,0.014735505469020586,450.79623308561355
560,0.00581557386756542,0.010758384309740599,268.67437432632073
570,0.005157308768790531,0.012484707070191366,349.11465724704726
580,0.006551546995419774,0.01479114845863158,327.6657467631634
590,0.008068538640262862,0.012029599214278194,504.61484012209905
600,0.007080100234373086,0.010532410710399861,256.81899126254586
610,0.006943349784040452,0.012151974985214283,373.48530282934917
620,0.006973194913738165,0.012543330630937126,271.46682433293756
630,0.004465581898592136,0.011598968734163441,382.79294060243336
640,0.006717132213209219,0.009568425674104526,338.1356498341646
650,0.006973503652361063,0.010496116396114443,336.8639668168603
660,0.006582079061444041,0.009840036600652188,350.2021400562063
670,0.007269865283879073,0.015525845116370986,395.69590103881154
680,0.004756687171393013,0.01037213353573684,360.4803874732964
690,0.00727109380904227,0.014087088256325906,578.6429287489511
700,0.007375974952595859,0.015677498983354476,389.1726641484778
710,0.007511231750941452,0.01197417792298619,376.4247193732644
720,0.005638805545314814,0.012178299458090326,295.0911402176543
730,0.006802459347791133,0.018706923531660327,204.76561367043195
740,0.007636628674579025,0.008665024913396872,295.9690889430571
750,0.008203166895192193,0.012957986859914731,256.3712141505915
