tijd,S,X
0,0.0,9.723471397657632e-06
100,2.233875102948086e-05,1.2804359309006139e-05
200,3.728292194067127e-05,9.204597396420239e-06
300,7.636001597376571e-05,1.0982260433425962e-05
400,6.935663469650423e-05,1.0423031802532357e-05
500,8.588621520313469e-05,8.43446402284846e-06
600,0.00011783568439444772,5.686463212882779e-06
700,8.499921287236912e-05,8.104700094233343e-06
800,0.00011704485685511338,9.630966789790047e-06
900,0.00013375639272352304,6.4573016083716144e-06
1000,0.0002324478614591189,8.540329715474302e-06
1100,0.00019838484701719566,6.360680990770931e-06
1200,0.00018838397480550861,9.048681077454548e-06
1300,0.00017454579500270092,9.476511728297937e-06
1400,0.0002127272585752346,8.268482288549378e-06
1500,0.00022562772154160695,1.1993653967207695e-05
1600,0.00027018906620593375,6.880287163818699e-06
1700,0.00033194905997140827,6.578975802417053e-06
1800,0.0003113911170073232,5.281210906796404e-06
1900,0.00022947041756104722,9.010493780261362e-06
2000,0.00037388663932750075,8.952493600834493e-06
2100,0.0003309648349644978,8.124369504092551e-06
2200,0.00024760807466489175,7.392994636599992e-06
2300,0.0003305372557204207,1.0454422415344086e-05
2400,0.0004022011298575811,5.584026728451086e-06
2500,0.00041352169236472157,7.958783839874097e-06
2600,0.00034595102648965915,9.67690496997479e-06
2700,0.0004965383040920756,1.0229200762747982e-05
2800,0.0003519682993745815,8.092035155414995e-06
2900,0.0004627918172267153,1.0313049062257222e-05
3000,0.00040225378852276096,8.314120599127717e-06
3100,0.000354733205084502,6.574046451344795e-06
3200,0.0005416685082887786,1.0995494244474832e-05
3300,0.00046930586550480226,1.0396306504762062e-05
3400,0.0005213366437226317,7.550262870574503e-06
3500,0.0005318311188979553,1.1350119207454581e-05
3600,0.000501971450103787,1.141256614698468e-05
3700,0.0002451726056492488,1.0136943495105488e-05
3800,0.0005333699667341264,8.198834563720013e-06
3900,0.0005430747919835008,5.263154680544063e-06
4000,0.0005183320534379188,9.377096304989218e-06
4100,0.0007136523811929955,7.860177980828535e-06
4200,0.00046890219444230274,7.905292533370569e-06
4300,0.000671621156493214,9.38484319373933e-06
4400,0.0005148476213094452,9.731386585698641e-06
4500,0.0005952057470680205,1.0559478496246122e-05
4600,0.000508633654780167,8.285831173402023e-06
4700,0.0005524003231889922,6.28696246210268e-06
4800,0.0006428876471608203,9.376482988529035e-06
4900,0.000614954217722889,8.515211947542796e-06
5000,0.00044561343217245785,8.204569376004666e-06
5100,0.0005855617320264558,7.541360496748426e-06
5200,0.0006150959894100962,9.735691678604514e-06
5300,0.0008847455709292766,9.348875593028417e-06
5400,0.0006825106609561258,8.924856934356706e-06
5500,0.0004040187256695481,9.038421240785416e-06
5600,0.0006699924121157701,1.3604033301411854e-05
5700,0.0006425827155600542,9.693342308652849e-06
5800,0.0006697604262217399,7.027031442679759e-06
5900,0.0008359985682188664,1.0583043322890104e-05
6000,0.0007949599169643362,7.550543518456209e-06
6100,0.0008863468336990381,6.6631797238941875e-06
6200,0.0007797288655889377,1.3359495905608192e-05
6300,0.0005640335529597325,8.265128235102402e-06
6400,0.0007229461547384311,8.410600604833326e-06
6500,0.0004926691549113141,9.513032214904594e-06
6600,0.0005665354294801584,1.0308777246652976e-05
6700,0.0005912691100988455,1.2379072327193322e-05
6800,0.0006152291073483994,8.872326225673917e-06
6900,0.0008539126255621551,7.17416832135765e-06
7000,0.0007728628600711118,1.2048244376460058e-05
7100,0.0005047724571803206,9.939959781138096e-06
7200,0.000787478534732653,1.1125523634283062e-05
7300,0.0005667884343540275,7.106439678364966e-06
7400,0.0008366097445777267,1.0268388048223675e-05
7500,0.0008000460327666361,1.0403198691099647e-05
7600,0.0006619356229865756,1.021951948705524e-05
7700,0.0008154543953138531,8.402532253439041e-06
7800,0.0010633552058196022,1.077329421900409e-05
7900,0.0005929302906354488,1.11759189128807e-05
8000,0.0006298094073751828,1.147826488064345e-05
8100,0.0009683159813936522,8.321808444296137e-06
8200,0.000942107781991847,1.0820299938671823e-05
8300,0.0009240725814288374,1.3841491008669792e-05
8400,0.0007580799504716937,8.55597526965971e-06
8500,0.000658285972982814,8.464679128190405e-06
8600,0.0007918014020266937,1.0848759172518717e-05
8700,0.0008522847876786355,1.1883897552367608e-05
8800,0.0008130246658991005,1.3214832736743711e-05
8900,0.0007710746531757932,1.5873149631031085e-05
9000,0.0009196355045166576,8.552930731503418e-06
9100,0.000644749636756982,1.1365298666453704e-05
9200,0.0007867302481095128,1.1894322927771375e-05
9300,0.0009047604150867089,1.029909101905984e-05
9400,0.0006889878760416599,7.315286633556188e-06
9500,0.0007580080073100848,1.2343989128136882e-05
9600,0.000870912404824946,7.946424573328069e-06
9700,0.0008669299015433544,1.1446898165879815e-05
9800,0.0006920113641021943,1.1001038228948333e-05
9900,0.0008530663022549036,8.268139739172258e-06
10000,0.000906363315945776,1.1971253032669646e-05
