tijd,C6H5NO2,C6H6,N2O5
0,0.0,0.02585207096486446,0.0
1,4.481424632447766e-07,0.022898805447490293,7.639090301669453e-05
2,1.8251025851465268e-06,0.052669479429162044,0.00010556466949483405
3,2.441230840985319e-06,0.015936447344839993,0.00015905975795851184
4,3.4701593880662413e-06,-0.027032967639088953,-0.0002870301850429618
5,1.8987283957241165e-06,-0.00037851555470590215,0.0006488277371039203
6,5.707264203726589e-07,-0.012121627898367009,0.0014570431244408373
7,6.494029985393023e-06,0.03127827365640285,-0.0002921001336143558
8,4.955945972003836e-06,0.03243860206540611,-0.00011837710780002208
9,1.880001332132744e-05,0.011621294918522245,0.0006231676897787647
10,6.669850969482761e-06,0.08271532076748735,0.0009619809178862092
11,-1.1607591804175658e-06,0.05267120244696338,-0.0002363070287835483
12,2.8723435437454132e-05,-0.027638426479618606,-0.00038215136181161936
13,3.3130580164156763e-05,0.049894137491666185,0.0014740426004096788
14,2.8182513600429837e-05,0.019988642446703633,-0.000646913973787071
15,1.0173624796796215e-05,0.015372102453861293,0.002972456789958609
16,5.510725497578978e-05,-0.021671031352944594,0.0020358762700004255
17,2.826258309713111e-05,0.009143530454465271,0.002626626482389912
18,0.00010388615103318192,0.054465550999911,0.0002767850050840715
19,3.908043523709064e-05,0.037411623058903595,0.0035812588872453496
20,3.240868949336048e-05,0.02280397985656737,-0.0002024273520260082
21,-1.336200971214153e-05,0.05057620300473785,0.004698655875310331
22,6.884977207615808e-05,0.05570730986787903,0.0028378834119068322
23,2.856611884695422e-05,0.03771809493913715,0.00551717075841341
24,8.388669770757546e-05,0.07080080506976662,-0.0036654931480433646
25,0.00017073426727665664,0.02990207983185991,0.0016486014536735674
26,0.00010984674938920238,-0.027068146503406495,0.0019041645074305818
27,0.00014616832757918653,0.06767186073802103,0.00121791411276924
28,2.201941063898368e-05,0.013558045924802085,0.0050103352302286516
29,0.0001626827996305189,0.01274976490461141,0.00409039922679821
30,0.00014268439991627703,0.0531830734409519,0.0008312261394842861
