time (s),concentration (%) predicted
1578,24.2082
1581,24.0527
1584,24.4045
1587,24.4746
1590,23.9817
1593,24.0622
1596,24.1672
1599,23.8783
1602,24.1941
1605,23.8518
1608,24.0076
1611,24.2109
1614,24.1754
1617,24.0168
1620,23.7091
1623,23.7145
1626,23.6075
1629,23.8473
1632,23.5721
1635,23.9274
1638,23.8675
1641,24.3868
1644,23.9449
1647,23.9831
1650,24.3198
1653,24.6795
1656,23.9321
1659,24.2296
1662,23.9902
1665,23.8014
1668,23.8885
1671,23.9093
1674,23.7874
1677,23.9135
1680,23.9806
1683,24.162
1686,24.2453
1689,24.2623
1692,24.0768
1695,24.1985
1698,23.9389
1701,23.7526
1704,24.1903
1707,24.2976
1710,24.47
1713,23.6388
1716,23.9685
1719,24.1049
1722,23.8521
1725,24.2669
1728,23.8439
1731,23.832
1734,23.8797
1737,23.7631
1740,23.7516
1743,23.46
1746,23.7887
1749,23.8964
1752,23.7868
1755,23.9007
1758,23.5642
1761,23.6566
1764,23.7481
1767,23.8274
1770,23.8024
1773,23.662
1776,23.8313
1779,23.7197
1782,23.4767
1785,23.5957
1788,23.6201
1791,24.1606
1794,23.7236
1797,23.5934
